relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
02.02.2023_n_12.xlsx;2023-02-02;2023;2023-02-02;n;12;12.0;144.0;7;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1019;;nearest_date_proxy_control;1;0;;0.1569326131722138;20.0;0.05682612810272524;0.06603870825855622;0.2847475083711988;500;10
02.02.2023_n_18.xlsx;2023-02-02;2023;2023-02-02;n;18;18.0;324.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1019;;nearest_date_proxy_control;1;0;;0.08983111213575118;21.0;0.020839815179431176;0.04640938118346229;0.12376804855706992;500;11
02.06.2025_e_40.xlsx;2025-06-02;2025;2025-06-02;e;40;40.0;1600.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;168;;nearest_date_proxy_control;1;0;;0.051492316944909876;25.0;0.013332293026389596;0.02773948199715556;0.0785325326047832;500;11
02.06.2025_y_45.xlsx;2025-06-02;2025;2025-06-02;y;45;45.0;2025.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;168;;nearest_date_proxy_control;1;0;;0.009975069253427922;14.0;0.0034088382771248794;0.003992181419098264;0.017289623808685817;500;11
02.07.2025_y5_y5_y36.xlsx;2025-07-02;2025;2025-07-02;y;5+5+36;46.0;1346.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;138;;nearest_date_proxy_control;1;0;;0.030501224899775282;14.0;0.007065317102010195;0.017810592707807573;0.04456510664160369;500;11
04.06.2025_e_45.xlsx;2025-06-04;2025;2025-06-04;e;45;45.0;2025.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;166;;nearest_date_proxy_control;1;0;;0.016677742348630516;16.0;0.004658360180347588;0.00782912782957885;0.025642756617681298;500;11
05.12.2018_c_12.xlsx;2018-12-05;2018;2018-12-05;c;12;12.0;144.0;9;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;203;;nearest_date_proxy_control;1;0;;0.10924901633537025;20.0;0.01415522326908221;0.08303945673824517;0.13697625435299324;500;10
07.04.2025_e45.xlsx;2025-04-07;2025;2025-04-07;e;45;45.0;2025.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;224;;nearest_date_proxy_control;1;0;;0.022111820731559432;14.0;0.006176835792934399;0.01135443003309608;0.03482416052748125;500;11
08.10.2021_p_32.xlsx;2021-10-08;2021;2021-10-08;p_through;32;32.0;1024.0;7;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1241;;nearest_date_proxy_control;1;0;;0.16098126530148324;15.0;0.021794381624399808;0.11615881654380811;0.20084593761709907;500;8
08.10.2021_p_32_прострел.xlsx;2021-10-08;2021;2021-10-08;p_through;32;32.0;1024.0;7;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1241;;nearest_date_proxy_control;1;0;;0.1629776353629813;15.0;0.02332923858859357;0.11691336512998597;0.20349514996738627;500;8
08.11.2023_y_32.xlsx;2023-11-08;2023;2023-11-08;y;32;32.0;1024.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;740;;nearest_date_proxy_control;1;0;;0.09384815607930816;16.0;0.01749552941266883;0.06302991535512187;0.12910527486897466;500;11
08.11.2023_y_36.xlsx;2023-11-08;2023;2023-11-08;y;36;36.0;1296.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;740;;nearest_date_proxy_control;1;0;;0.09054568254322941;11.0;0.015178558310645603;0.061813681048286134;0.11920572548467928;500;11
10.12.2014_с_12.xlsx;2014-12-10;2014;2014-12-10;c;34;34.0;1156.0;9;control_13.01.2016.xlsx;nearest_available_proxy;control_13.01.2016.xlsx;399;;nearest_date_proxy_control;1;0;;0.12887962096309652;19.0;0.06734727749613974;0.022043727009458388;0.260670188751447;500;8
11.01.2024_y_40.xlsx;2024-01-11;2024;2024-01-11;y;40;40.0;1600.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;676;;nearest_date_proxy_control;1;0;;0.025752496334668994;15.0;0.0070437614784264;0.0138098087187049;0.04056242698166469;500;10
11.04.2016_y_32.xlsx;2016-04-11;2016;2016-04-11;y;32;32.0;1024.0;6;control_11.04.2016_c12.xlsx;same_date;control_11.04.2016_c12.xlsx;0;;;1;1;;0.03551689276010751;16.0;0.006953790675733652;0.023465952438700487;0.04918701706415281;500;11
11.04.2025_y4_y4_y32.xlsx;2025-04-11;2025;2025-04-11;y;4+4+32;40.0;1056.0;5;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;220;;nearest_date_proxy_control;1;0;;0.07649239680694828;22.0;0.013708262432038333;0.05095388766963466;0.09911877614307127;500;10
12.01.2024_y_36.xlsx;2024-01-12;2024;2024-01-12;y;36;36.0;1296.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;675;;nearest_date_proxy_control;1;0;;0.03387686507781349;15.0;0.00809948830957632;0.020407733027732453;0.051477495073533795;500;10
