row_type;family;model;group_type;held_out_group;n_train;n_test;status;rmse_sf;rmse_log;r2_sf;group_count;valid_folds;prediction_count;coverage
aggregate;c;linear;series;ALL;;10;ok;0.12339258057222864;0.8412344857746207;0.028046719893296546;7;7;10;1.0
fold;c;linear;series;2014-12-10;9;1;ok;0.10463011590574588;;;;;;
fold;c;linear;series;2015-12-24;9;1;ok;0.16173785865564294;;;;;;
fold;c;linear;series;2016-04-11;8;2;ok;0.14477139363667266;;;;;;
fold;c;linear;series;2016-12-12;8;2;ok;0.09405401520111528;;;;;;
fold;c;linear;series;2017-03-27;8;2;ok;0.08192511833782988;;;;;;
fold;c;linear;series;2018-12-05;9;1;ok;0.19344953838646695;;;;;;
fold;c;linear;series;2019-11-29;9;1;ok;0.06851781529348913;;;;;;
aggregate;c;linear;year;ALL;;10;ok;0.12173061987461734;0.8368608822036603;0.054052654339717954;6;6;10;1.0
fold;c;linear;year;2014;9;1;ok;0.10463011590574588;;;;;;
fold;c;linear;year;2015;9;1;ok;0.16173785865564294;;;;;;
fold;c;linear;year;2016;6;4;ok;0.11783036231141633;;;;;;
fold;c;linear;year;2017;8;2;ok;0.08192511833782988;;;;;;
fold;c;linear;year;2018;9;1;ok;0.19344953838646695;;;;;;
fold;c;linear;year;2019;9;1;ok;0.06851781529348913;;;;;;
aggregate;c;lq;series;ALL;;10;ok;0.12339258057227018;0.8412344857747561;0.02804671989264207;7;7;10;1.0
fold;c;lq;series;2014-12-10;9;1;ok;0.10463011590574589;;;;;;
fold;c;lq;series;2015-12-24;9;1;ok;0.16173785865576762;;;;;;
fold;c;lq;series;2016-04-11;8;2;ok;0.1447713936367802;;;;;;
fold;c;lq;series;2016-12-12;8;2;ok;0.09405401520111525;;;;;;
fold;c;lq;series;2017-03-27;8;2;ok;0.08192511833782988;;;;;;
fold;c;lq;series;2018-12-05;9;1;ok;0.19344953838646683;;;;;;
fold;c;lq;series;2019-11-29;9;1;ok;0.06851781529348908;;;;;;
aggregate;c;lq;year;ALL;;10;ok;0.12173061987463388;0.8368608822037069;0.05405265433946105;6;6;10;1.0
fold;c;lq;year;2014;9;1;ok;0.10463011590574589;;;;;;
fold;c;lq;year;2015;9;1;ok;0.16173785865576762;;;;;;
fold;c;lq;year;2016;6;4;ok;0.11783036231141632;;;;;;
fold;c;lq;year;2017;8;2;ok;0.08192511833782988;;;;;;
fold;c;lq;year;2018;9;1;ok;0.19344953838646683;;;;;;
fold;c;lq;year;2019;9;1;ok;0.06851781529348908;;;;;;
aggregate;e;linear;series;ALL;;23;ok;0.06171059143934348;1.9138164711315093;-0.46936971341670675;18;18;23;1.0
fold;e;linear;series;2018-05-17;22;1;ok;0.022058063837645837;;;;;;
fold;e;linear;series;2019-10-15;22;1;ok;0.038629546610352714;;;;;;
fold;e;linear;series;2020-03-06;21;2;ok;0.0684516159975645;;;;;;
fold;e;linear;series;2020-03-20;21;2;ok;0.05947171952060247;;;;;;
fold;e;linear;series;2020-07-08;22;1;ok;0.07501254928392123;;;;;;
fold;e;linear;series;2021-02-12;22;1;ok;0.05646807325807976;;;;;;
fold;e;linear;series;2022-06-20;22;1;ok;0.0528374524712201;;;;;;
fold;e;linear;series;2022-06-23;22;1;ok;0.05370372638766208;;;;;;
