family;model;selected;selection_reason;n_experiments;n_series;n_years;n_distinct_regimens;alpha_eff;alpha_ci_low;alpha_ci_high;beta_eff;beta_ci_low;beta_ci_high;alpha_beta_ratio_gy;aic;aicc;rmse_log;rmse_sf;r2_sf;condition_number;series_cv_r2_sf;series_cv_rmse_sf;series_cv_coverage;bootstrap_success
c;linear;1;beta_interval_includes_zero_or_boundary;10;7;6;6;0.10721445197178898;0.08971375616447785;0.1469621318368059;0.0;0.0;0.0;;89.73587593572756;90.23587593572756;0.7830281315599735;0.11333225624694208;0.18007455230832903;1.0;0.028046719893296546;0.12339258057222864;1.0;1000
c;lq;0;;10;7;6;6;0.10721445197176631;0.07982479591256951;0.14622136172277633;1.2214214621710207e-15;2.1938758199611888e-25;0.0012367328158107694;;91.7358759357448;93.45016165003051;0.7830281315601493;0.11333225624695265;0.18007455230817615;52.13370828055727;0.02804671989264207;0.12339258057227018;1.0;1000
e;linear;1;beta_interval_includes_zero_or_boundary;23;18;8;7;0.0812402358787381;0.06446769345231947;0.10175845205909957;0.0;0.0;0.0;;378.72981382480526;378.92029001528147;1.8608044652260982;0.05787109641417067;-0.29221592068272284;1.0;-0.46936971341670675;0.06171059143934348;1.0;1000
e;lq;0;;23;18;8;7;0.0812402358736626;0.06214631957158482;0.10175845205881213;8.156172518113052e-18;3.605955714420255e-25;2.2446438428752e-07;;380.7298138248057;381.32981382480574;1.8608044652998614;0.057871096416225155;-0.2922159207744732;277.274089067844;-0.46936971304060027;0.06171059143144562;1.0;1000
n;linear;1;beta_interval_includes_zero_or_boundary;3;2;1;3;0.1407837111274672;0.1250275497695578;0.15471730054409677;0.0;0.0;0.0;;-0.45774474976155455;3.5422552502384455;0.11983603284537755;0.01712439709367732;0.8644931613651938;1.0;;0.005434184058744858;0.3333333333333333;1000
n;lq;0;;3;2;1;3;0.1384596603044141;0.04415746736530832;0.15485421269823213;0.00011317246401045135;1.7716897968341187e-23;0.004758963799501373;1223.4394781015592;1.5402726291189266;;0.12313418131089567;0.018208709841522477;0.8467893397605237;168.7772104973683;;;0.0;768
p_peak;linear;1;beta_interval_includes_zero_or_boundary;14;8;4;7;0.1080241851469883;0.09545030552649886;0.11628611241334479;0.0;0.0;0.0;;31.729680398596457;32.06301373192979;0.5535203500305542;0.008010123121868435;-0.1266425143110983;1.0;-0.2731642178981899;0.008515072224963895;1.0;1000
p_peak;lq;0;;14;8;4;7;0.0914552803720677;0.018722578074743177;0.10806994884771941;0.0005323104613620151;1.5723219915849843e-19;0.0026571942932121883;171.8081589793715;29.038704574555148;30.129613665464237;0.5030529881556929;0.0077375664616488645;-0.05127548510598534;127.2679534198703;-0.4977915721143136;0.009235742482475254;1.0;1000
p_through;linear;0;;18;12;6;5;0.07420284795087964;0.0625879137409112;0.08990377497151232;0.0;0.0;0.0;;290.35933702229954;290.60933702229954;0.95038490617243;0.06158226970568324;0.11967507380080844;1.0;-0.02532179403963819;0.06646060437420893;1.0;1000
p_through;lq;1;lq_aicc_and_bootstrap_supported;18;12;6;5;0.04500449130392947;2.912032552057632e-25;0.05407091297880329;0.0010413755039369494;0.00044645366731781725;0.002730977446124299;43.2163913341429;225.26280320411036;226.06280320411037;0.8013006566641571;0.0590236731656319;0.19130625827990477;89.74465384464811;-1.7741736510664206;0.10932034993314747;1.0;1000
y;linear;1;beta_interval_includes_zero_or_boundary;25;21;7;8;0.08762963719040803;0.07621757429325403;0.0957900334304661;0.0;0.0;0.0;;160.99137838944384;161.1652914329221;0.715436795871161;0.03354931553268921;0.15273565079191964;1.0;0.07964040569353692;0.03496656492473115;1.0;1000
y;lq;0;;25;21;7;8;0.04489081077199039;4.822553909112862e-14;0.09187959288462678;0.0012605621863573285;5.2199897878434743e-20;0.0025939322045867835;35.611738363905914;145.88896692872453;146.43442147417906;0.6875822096347488;0.033148709619293774;0.1728488861323495;290.5840013683668;0.07182141176227996;0.035114781520611656;1.0;1000
